#,Software,Website,Supported storage/streaming services,Annotation modalities,Cooperation features,Sharing capabilities,Interoperability,Extensibility,Local vs. online usage,Business model,Governance
_The name of the software._,_The website where the software can be accessed._,"_Where is the interrograted media stored (a service like Youtube, dedicated server, local machine etc.)._","_Ways in which the user can add annotations, types of annotations._",_Ways in which the documents can be worked on by several people._,_Ways in which the documents can be shared._,"_Can the resulting documents and projects be opened in other programs, accessed by other frameworks. Openness of format._",_Is it possible to etend the environment (write plugins etc.)._,"_How can projects be sorted (cloud, local machine etc.)_","_Is the service free to use, open source, paid, subscription based etc._",_What is the nature of the institution or body behind the program._,
1,MemoRekall (legacy),https://memorekall.com/en/,Youtube and Vimeo.,"Types of annotations: documents (pdf, image etc); text; urls. Annotations have metadata, can control the speed of video playback.",Projects can have several authors.,"Projects can be shared via a link, embedded in a website, or save to XML.",Projects exported as XML file.,-,Online storage with HumaNum. (XML files can be stored locally but no way of uploading downloaded XML files.,"Open source, free to use. Account required.","Project led by Clarisse Bardiot, Université Rennes 2."
2,Videonotes,https://videonotes.net/,Youtube.,"Type textual notes during playback, hit enter and the annotation will be created. A list is populated under the video.",-,-,-,-,Online storage.,Free to use. Account required.,-
3,VideoAnt,https://ant.umn.edu/,Youtube.,Add textual annotations. Each annotation is a conversation thread which can be responded to.,Users can edit the same project and respond to each other's annotations.,"Projects can be shared via link, embedded in HTML and saved to various formats. Can create groups of users.","Text, RSS, XML and JSON export formats.",-,Online storage. Projects can be downloaded but not uploaded.,Free to use. Account required.,University of Minnesota.
4,Vibby,https://www.vibby.com/,Youtube.,Select parts of the video and comment them with text. These can be subject to comment from other people. Work on multiple videos in a same project and the annotated fragments will constitute the final project.,"Users can respond, comment and upvote the projects and annotations.","Share via the Vibby website, give the project a tag and other metadata. Alos share via link and embed in HTML.",-,-,Online storage.,Free to use. Account required.,-
5,YiNote,https://yinote.co/,"Any service with HTML video (Youtube, Vimeo, LinkedIn, Lynda, Coursera etc.).","A browser extension, add textual annotations during video playback. These can be interacted with to play the video from that moment. A gloabl overview page is also created and associated with a screenshot of the anntoation which can be edited (add shapes, text etc.).",-,"Export to JSON, PDF, markdown, google docs, everntoe etc.",Exportable to a number of different formats.,Possibility to download and upload data files. The git repository is available for forking. Very well documented.,Online and local storage.,"Free to use, open source. No account required.",Github community.
6,Timelinely,https://www.timeline.ly/,Youtube.,"Add timed annotations linked to images, google maps, text, urls, video and photo.",-,Share via a link.,-,-,Online storage.,"Free to use, no account required.",Small development team.
7,"Vizia - redirect to ""teachable.com"", depreciated.",-,Youtube.,"Create text, url, quizz and question annotations. Designed for data collection.",-,Share projects with url.,-,-,-,-,-
8,Verse,https://www.verse.com/,Upload your own video content (max 30Mo/month for basic account). Includes 360° video.,"Create interactable projects with parts of the video which can be clicked on and using simple logic and decision points trigger other video playback. Annotations can be text, image and url.",-,Embeddable.,-,API and plugin integration.,Online storage.,"Free to use, account required. Premium accounts.",Professional development team (Bonza Interactive Group).
9,Popcorn Maker - depreciated.,https://foundation.mozilla.org/en/artifacts/popcorn-maker/,HTML video.,"Remix web video with text, image, ggole maps, wikipedia annotations using a layed timeline.",-,-,-,Built upon the popcorn.js library.,-,-,Mozilla.
10,Videopath - depreciated.,-,Youtube.,"Add text, image, url and audio annotations onto a vertical timeline.",-,Embeddable.,-,-,-,-,-
